vk0x0	0x0	
vk0xBF	0x35	/
vk0xC0	0x29	`
vk0xC1	0x73	** Reserved **
vk0xC2	0x7E	** Reserved **
vk0xC3	0x0		** Reserved **
vk0xC4	0x0		** Reserved **
vk0xC5	0x0		** Reserved **
vk0xC6	0x0		** Reserved **
vk0xC7	0x0		** Reserved **
vk0xC8	0x0		** Reserved **
vk0xC9	0x0		** Reserved **
vk0xCA	0x0		** Reserved **
vk0xCB	0x0		** Reserved **
vk0xCC	0x0		** Reserved **
vk0xCD	0x0		** Reserved **
vk0xCE	0x0		** Reserved **
vk0xCF	0x0		** Reserved **
vk0xD0	0x0		** Reserved **
vk0xD1	0x0		** Reserved **
vk0xD2	0x0		** Reserved **
vk0xD3	0x0		** Reserved **
vk0xD4	0x0		** Reserved **
vk0xD5	0x0		** Reserved **
vk0xD6	0x0		** Reserved **
vk0xD7	0x0		** Reserved **
vk0xD8	0x0		** Unassigned **
vk0xD9	0x0		** Unassigned **
vk0xDA	0x0		** Unassigned **
vk0xDB	0x1A	[
vk0xDC	0x2B	\
vk0xDD	0x1B	]
vk0xDE	0x28	'
vk0xDF	0x0		VK_OEM_8
vk0xE0	0x0		** Reserved **
vk0xE1	0x0		** OEM Specific **
vk0xE2	0x56	\
vk0xE3	0x0		** OEM Specific **
vk0xE4	0x0		** OEM Specific **
vk0xE5	0x0		IME PROCESS Key
vk0xE6	0x0		** OEM Specific **
vk0xE7	0x0		VK_Packet(Used for sending Unicode chars?)
vk0xE8	0x0		** Unassigned **
vk0xE9	0x71	** OEM Specific **
vk0xEA	0x5C	** OEM Specific **
vk0xEB	0x7B	** OEM Specific **
vk0xEC	0x0		** OEM Specific **
vk0xED	0x6F	** OEM Specific **
vk0xEE	0x5A	** OEM Specific **
vk0xEF	0x0		** OEM Specific **
vk0xF0	0x0		** OEM Specific **
vk0xF1	0x5B	** OEM Specific **
vk0xF2	0x0		** OEM Specific **
vk0xF3	0x5F	** OEM Specific **
vk0xF4	0x0		** OEM Specific **
vk0xF5	0x5E	** OEM Specific **
vk0xF6	0x0		Attn Key
vk0xF7	0x0		CrSel Key
vk0xF8	0x0		ExSel Key
vk0xF9	0x5D	Erase EOF Key
vk0xFA	0x0		Play Key
vk0xFB	0x62	Zoom Key
vk0xFC	0x0		** Reserved **
vk0xFD	0x0		PA1 Key
vk0xFE	0x0		Clear Key
vk0xFF	0x0		? Maybe for unknown keys/keyboard error?
